Staff Report
Created On:,"Nov 01, 2022"
Schools:,All schools
Account type:,All
Modified:,"Oct 23, 2022 - Oct 29, 2022"
""
ID,Login ID,Name,Account,School,Phone,Text/SMS,Address,Email,Logged In,Last Modified,Limited Use
135,anderson.tonyL,"Anderson, Tony",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
159,areli.rhoades5,"Areli, Rhoades",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
157,ava.pressoirz,"Ava, Pressoir",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
95,avery.lindi1,"Avery, Lindi",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
103,belen.emeliaE,"Belen, Emelia",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
164,benjamin.clark-johnsons,"Benjamin, Clark-Johnson",District Administrator,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
142,brittany.lexyK,"Brittany, Lexy",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
139,brittany.trentona,"Brittany, Trenton",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
4,bryan.clausk6,"Bryan, Claus",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
154,charlotte.kylei,"Charlotte, Kyle",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
28,chase.selmanovicW,"Chase, Selmanovic",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
6,cimone.warrentF,"Cimone, Warren",Teacher,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,
117,daniel.carlosl,"Daniel, Carlos",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
62,daniel.danielC,"Daniel, Daniel",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
18,daysha.prascherR,"Daysha, Prascher",Teacher,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,True,10/27/2022 09:06:13 AM,True
10,dejon.fieldH,"Dejon, Field",Teacher,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
20,destinee.ellisonT3,"Destinee, Ellison",Teacher,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,True,10/27/2022 09:06:13 AM,True
133,devonta.joseph9,"Devonta, Joseph",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
42,dylan.dylan9,"Dylan, Dylan",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
158,elena.quinzanil,"Elena, Quinzani",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
31,elijah.garrettL,"Elijah, Garrett",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
22,erika.cloudp,"Erika, Cloud",Staff,Automation Org - Do Not Delete,202-924-8722,,,bindhuja.dinakaran@blackboard.com,,10/27/2022 09:06:13 AM,True
