This report contains only the first 2000 results. You can get the full result set by exporting the report to your email.
Change Log Report
Created On:,"Nov 01, 2022"
Schools:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Account Type:,All
Event:,All
Changed By:,"An Import, A Person, SIF agent"
Item:,All
""
Date/Time,Action,Changed By,Person,Item,Value,Old Value,School
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,M,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,F,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,10)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Leo,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Manish,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Paris,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Elena,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,5)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Tanoj,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Manish,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,F,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Benjamin,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Ava,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Kabilan,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,6)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,1)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Jasmine,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Lucas,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,M,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Kabilan,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Marshall,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,7)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,2)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,F,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage2ID,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredLanguage1ID,en-US,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToEmailAddress,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,firstName,Tiffany,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,birthDate,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,preferredName,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,gender,F,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,Account,"(STUDENT,8)",,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,replyToPhoneNumber,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,lastName,Mohit,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
10/24/2022 05:48:05 AM EDT,add,PMImport_StudentRecords,,ldapDn,,,Automation Org - Do Not Delete
